MetaboliteName;KEGG_Pathways_Total_Metabolites;KEGG.ID;CommonName;CAS;PubChem;ChEBI;mzPos;mzNEG;RT;PathwayID;PathwayName;"PathwayClass;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
?-Alanine;beta-Alanine;C00099;"beta-Alanine; 3-Aminopropionic acid; 3-Aminopropanoate";107-95-9;3399;16958;90.05496;88.0404;7.57;"hsa00240; hsa00410; hsa00640; hsa00770; hsa04080; hsa04974";"Pyrimidine metabolism; beta-Alanine metabolism; Propanoate metabolism; Pantothenate and CoA biosynthesis; Neuroactive ligand-receptor interaction; Protein digestion and absorption";"Metabolism; Nucleotide metabolism; Metabolism of other amino acids; Carbohydrate metabolism; Metabolism of cofactors and vitamins; Environmental Information Processing; Signaling molecules and interaction; Organismal Systems; Digestive system;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
?-Alanine;NA;C00133;"D-Alanine; D-2-Aminopropionic acid; D-Ala";338-69-2;3433;15570;90.05496;88.0404;7.57;"hsa00470; hsa04742";"D-Amino acid metabolism; Taste transduction";"Metabolism; Metabolism of other amino acids; Organismal Systems; Sensory system;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
Glycine methyl ester;NA;NA;NA;NA;NA;NA;90.05496;88.0404;0;NA;NA;"NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
Lactamide;NA;NA;NA;NA;NA;NA;90.05496;88.0404;3.05;NA;NA;"NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
Sarcosine;Sarcosine;C00213;"Sarcosine; N-Methylglycine";107-97-1;3513;15611;90.05496;88.0404;6.72;"hsa00260;"" hsa00330";Glycine;" serine and threonine metabolism"";"" Arginine and proline metabolism""""";"Metabolism""; Amino acid metabolism;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;
Urethane (Ethyl carbamate);NA;C01537;"Urethane; Ethyl carbamate";51-79-6;4698;17967;90.05496;88.0404;2.18;NA;NA;"NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
Oxalic acid;NA;C00209;"Oxalate; Oxalic acid; Ethanedioic acid";144-62-7;3509;1 699 530 623;91.00259;88.98803;9.05;"hsa00230; hsa00630";"Purine metabolism; Glyoxylate and dicarboxylate metabolism";"Metabolism; Nucleotide metabolism; Carbohydrate metabolism;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
Methylthioacetate;Acetate;C00033;"Acetate; Acetic acid; Ethanoic acid";64-19-7;3335;1 536 630 089;91.02121;89.00666;0;"hsa00010; hsa00430; hsa00440; hsa00534; hsa00620; hsa00630; hsa00920; hsa04725; hsa04936; hsa04973; hsa04974";"Glycolysis / Gluconeogenesis; Taurine and hypotaurine metabolism; Phosphonate and phosphinate metabolism; Glycosaminoglycan biosynthesis - heparan sulfate / heparin; Pyruvate metabolism; Glyoxylate and dicarboxylate metabolism; Sulfur metabolism; Cholinergic synapse; Alcoholic liver disease; Carbohydrate digestion and absorption; Protein digestion and absorption";"Metabolism; Carbohydrate metabolism; Metabolism of other amino acids; Glycan biosynthesis and metabolism; Energy metabolism; Organismal Systems; Nervous system; Human Diseases; Endocrine and metabolic disease; Digestive system;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
D-Lactic acid;(R)-Lactate;C00256;"(R)-Lactate; D-Lactate; D-Lactic acid; D-2-Hydroxypropanoic acid; D-2-Hydroxypropionic acid";10326-41-7;3555;1 600 442 111;91.03897;89.02442;4;hsa00620;Pyruvate metabolism;"Metabolism; Carbohydrate metabolism;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
"Glyceraldehyde,NA,C02154,""Glyceraldehyde; 2";"3-Dihydroxypropionaldehyde; 2";"3-Dihydroxypropanal; Glycerose;"" Aldotriose""""";367-47-5;5231;5445;91.03897;89.02442;0;NA;NA;"NA"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;;
2-Methylpyridine (2-Picoline);NA;C14447;"2-Methylpyridine; 2-Picoline";109-06-8;17395447;50415;94.06513;92.05057;2.64;NA;NA;"NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
3-Methylpyridine (3-Picoline);NA;C00747;"Pyridine; Azabenzene";110-86-1;4009;16227;94.06513;92.05057;2.16;NA;NA;"NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
4-Methylpyridine (4-Picoline);NA;C00747;"Pyridine; Azabenzene";110-86-1;4009;16227;94.06513;92.05057;2.17;NA;NA;"NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
Aniline;NA;C00292;"Aniline; Phenylamine; Benzenamine; Arylamine";62-53-3;3586;17296;94.06513;92.05057;2.15;NA;NA;"NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
Phenol;NA;C00146;"Phenol; Benzenol; Hydroxybenzene; Phenic acid; Phenylic acid";108-95-2;3446;15882;95.04914;93.03459;0;"hsa00350; hsa04974; hsa05208";"Tyrosine metabolism; Protein digestion and absorption; Chemical carcinogenesis - reactive oxygen species";"Metabolism; Amino acid metabolism; Organismal Systems; Digestive system; Human Diseases; Cancer: overview;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
Ethylmethylacetic acid (2-Methylbutyric acid);NA;C18319;"2-Methylbutyrate; 2-Methylbutyric acid; 2-Methylbutanoic acid";116-53-0;103061501;37070;103.07536;101.0608;2.68;hsa04974;Protein digestion and absorption;"Organismal Systems; Digestive system;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
Isovaleric acid;NA;C08262;"3-Methylbutanoic acid; Isovaleric acid; Isovalerate";503-74-2;10461;28484;103.07536;101.0608;2.62;hsa04974;Protein digestion and absorption;"Organismal Systems; Digestive system;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
Valeric acid;NA;C00803;"Pentanoate; Valerate; Pentanoic acid; Valeric acid; Valerianic acid; n-Pentanoate; n-Valeric acid";109-52-4;4061;17418;103.07536;101.0608;2.46;NA;NA;"NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
"Cadaverin,Cadaverine,C01672,""Cadaverine; 1";"5-Pentanediamine; 1";"5-Diaminopentane;"" Pentamethylenediamine""""";462-94-2;4816;18127;103.12298;101.10842;0;"hsa00310""; hsa00470; hsa00480; hsa04974";"Lysine degradation; D-Amino acid metabolism; Glutathione metabolism; Protein digestion and absorption";"Metabolism; Amino acid metabolism; Metabolism of other amino acids; Organismal Systems; Digestive system;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;;
?-aminobutyric acid;4-Aminobutanoate;C00334;"4-Aminobutanoate; 4-Aminobutanoic acid; 4-Aminobutyrate; 4-Aminobutyric acid; gamma-Aminobutyric acid; GABA";56-12-2;3628;1 686 530 566;104.07061;102.05605;7.76;"hsa00250; hsa00330; hsa00410; hsa00650; hsa00760; hsa04024; hsa04080; hsa04721; hsa04723; hsa04727; hsa04742; hsa04915; hsa04929; hsa05032;"" hsa05033";Alanine;" aspartate and glutamate metabolism""; Arginine and proline metabolism; beta-Alanine metabolism; Butanoate metabolism; Nicotinate and nicotinamide metabolism; cAMP signaling pathway; Neuroactive ligand-receptor interaction; Synaptic vesicle cycle; Retrograde endocannabinoid signaling; GABAergic synapse; Taste transduction; Estrogen signaling pathway; GnRH secretion; Morphine addiction;"" Nicotine addiction""""";"Metabolism""; Amino acid metabolism; Metabolism of other amino acids; Carbohydrate metabolism; Metabolism of cofactors and vitamins; Environmental Information Processing; Signal transduction; Signaling molecules and interaction; Organismal Systems; Nervous system; Sensory system; Endocrine system; Human Diseases; Substance dependence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;
?-aminobutyric acid;NA;C02261;"D-2-Aminobutyrate; D-2-Aminobutyric acid; D-2-Aminobutanoic acid; (R)-2-Aminobutanoic acid";2623-91-8;5323;28797;104.07061;102.05605;7.76;NA;NA;"NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
2-Aminoisobutyric acid (2-Methyl-beta-alanine);NA;C03665;"2-Amino-2-methylpropanoate; 2-Aminoisobutyric acid";62-57-7;6443;27971;104.07061;102.05605;6.59;NA;NA;"NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
alpha-aminobutyric acid (L-2-aminobutyric acid);Butanoic acid;C00246;"Butanoic acid; Butanoate; Butyrate; Butyric acid";107-92-6;3545;1 796 830 772;104.07061;102.05605;6.08;"hsa00650; hsa04973; hsa04974";"Butanoate metabolism; Carbohydrate digestion and absorption; Protein digestion and absorption";"Metabolism; Carbohydrate metabolism; Organismal Systems; Digestive system;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
DL-3-Aminoisobutyric acid;NA;C05145;"3-Aminoisobutyric acid; 3-Aminoisobutanoate; 3-Amino-2-methylpropanoate";144-90-1;7563;27389;104.07061;102.05605;6.82;NA;NA;"NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
"N,N-Dimethylglycine,""N,N-Dimethylglycine"",C01026,""N,N-Dimethylglycine;"" Dimethylglycine""""";1118-68-9;4271;17724;104.07061;102.05605;5.29;hsa00260;Glycine;" serine and threonine metabolism""""";"Metabolism""; Amino acid metabolism;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;;;
Choline;Choline;C00114;"Choline; Bilineurine";62-49-7;3414;15354;104.10699;NA;0;"hsa00260; hsa00564; hsa02010; hsa04725; hsa04976;"" hsa05231";Glycine;" serine and threonine metabolism""; Glycerophospholipid metabolism; ABC transporters; Cholinergic synapse; Bile secretion;"" Choline metabolism in cancer""""";"Metabolism""; Amino acid metabolism; Lipid metabolism; Environmental Information Processing; Membrane transport; Organismal Systems; Nervous system; Digestive system; Human Diseases; Cancer: overview;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;
Malonic acid;Malonate;C00383;"Malonate; Malonic acid; Propanedioic acid";141-82-2;3673;1 579 230 794;105.01824;103.00368;8.38;"hsa00061; hsa00240; hsa00410";"Fatty acid biosynthesis; Pyrimidine metabolism; beta-Alanine metabolism";"Metabolism; Lipid metabolism; Nucleotide metabolism; Metabolism of other amino acids;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
