N Acetyl L Methionine;NA
N Acetyl L Phenylalanine;NA
N Acetyl L Tyrosine;NA
N Acetylglycine;NA
N.Acetyl.Dl.Tryptophan;NA
N.Isobutyrylglycine&isomers;NA
N.N_Dimethylglycine;NA
N_Acetyl_D_Galactosamine;NA
N_Acetyl_L_Alanine;NA
N_Acetyl_L_Leucine;NA
N_Alpha_Acetyl_L_Asparagine;NA
N_Isovalerylglycine&isomer;NA
N_Isovalerylglycine&isomer;NA
N_Methyl_L_Histidine&isomer;NA
O_Succinyl_L_Homoserine;NA
Oleoyl_Carnitine;NA
Ornithine;NA
Orotate;C00295
Palmitic acid;C00249
Palmitoyl_L_Carnitine;NA
Panthenol;NA
Panthotenate;NA
Perillic Acid;NA
Phenylacetylglycine (PHENYLACETYLAMINO ACETIC ACID);NA
Phenyllactic Acid;NA
Polyol_Mannitol.Sorbitol;NA
Pseudouridine;NA
Pyridoxal;C00250
Pyroglutamic.Acid._Oxoproline;NA
Pyroglutamic.Acid._Oxoproline;NA
Pyruvate;C00022
Serotonin;C00780
Succinate;C00042
Sucrose;C00089
Taurine;C00245
TaurochenodeoxycholicAcid_TaurodeoxycholicAcid_TaurohyodeoxycholicAcid_TauroursodeoxycholicAcid;NA
Taurocholic Acid & isomers (Tauro-b-muricholicacid, Tauro-a-muricholicacidï¿½);NA
Threonic Acid;NA
Thymidine;C00214
Thymine;C00178
TMAO;NA
Tocopherol;NA
Total Hexoses - Myo Inositol;NA
Total Hexoses (Glucose, Galactose…);NA
Total Pentoses;NA
TotalHexosamines_Glucosamine.Galactosamine;NA
TotalHexosamines_Glucosamine.Galactosamine;NA
Trans 3 Hydroxy L Proline_Trans 4 Hydroxy L Proline;NA
Trans_3_HexenedioicAcid;NA
Trigonelline;C01004
Urea;C00086
Urocanate;C00785
Alpha_Aminoadipate;NA
Alpha_Aminoadipate;NA
N Acetyl D Allo Isoleucine_N Acetyl L Leucine ;NA
N Acetyl D Allo Isoleucine_N Acetyl L Leucine ;NA
